Target_P,Delta,Grain_R,Real_P,K_eff
0.1,0.1,1.0,0.1077045806127156,0.7837627233333334
0.1,0.15,1.0,0.10978180431208133,0.81116133
0.1,0.2,1.0,0.1053256335432803,0.8377399666666667
0.1,0.25,1.0,0.10855313242053538,0.8287874666666667
0.1,0.3,1.0,0.1054398582268327,0.8371251266666667
0.1,0.35,1.0,0.10949482262355868,0.8329087999999999
0.1,0.4,1.0,0.1047830212480428,0.8414096033333333
0.1,0.5,1.0,0.1074542629867051,0.8434833033333332
0.1,0.6,1.0,0.1041315072672273,0.8459502966666667
0.1,0.7,1.0,0.1068473540974547,0.8425992
0.1,0.8,1.0,0.1085291822749212,0.8431561766666666
0.2,0.1,1.0,0.1986122692538476,0.3898256033333333
0.2,0.15,1.0,0.2083726984107754,0.5798297733333333
0.2,0.2,1.0,0.2087810203827876,0.6570026766666667
0.2,0.25,1.0,0.20751019631144396,0.6647657233333333
0.2,0.3,1.0,0.2098183414904829,0.6734406733333334
0.2,0.35,1.0,0.20769483334407446,0.6834428266666667
0.2,0.4,1.0,0.2052526157993563,0.6921652333333332
0.2,0.5,1.0,0.2080072408613135,0.7012465733333334
0.2,0.6,1.0,0.2061103673819095,0.7007330500000001
0.2,0.7,1.0,0.2047747601554971,0.7050667966666667
0.2,0.8,1.0,0.2087441420393662,0.70413661
0.3,0.1,1.0,0.2103911587022027,0.28801875
0.3,0.2,1.0,0.3062759764606375,0.4378874633333333
0.3,0.25,1.0,0.3084457579316574,0.4753769433333333
0.3,0.3,1.0,0.3068517201703303,0.51116511
0.3,0.35,1.0,0.3051796548387524,0.53312488
0.3,0.4,1.0,0.3030857329651574,0.5477113166666666
0.3,0.5,1.0,0.3073642124796626,0.5632469566666667
0.3,0.6,1.0,0.3067574474031009,0.5630628066666666
0.3,0.7,1.0,0.3051778903487732,0.5697870800000001
0.3,0.8,1.0,0.3078276856421029,0.5725741066666666
